id,name,synonyms,cellosaurus_accession,SANGAR_ID,COSMIC_ID,BROAD_ID,CCLE_ID,tissue,disease_id
13,COLO 205,COLO 205; Colo 205; CoLo 205; COLO-205; Colo-205; COLO.205; Colo205; COLO205; Co 205,CVCL_0218,SIDM00826,905961,ACH-001039,COLO205_LARGE_INTESTINE,large_intestine,C4349
14,COLO320DM,COLO320DM; COLO-320DM; COLO-320-DM; COLO320/DM; COLO320-DM; COLO320DM; COLO320 DM; COLO 320 DM,CVCL_0219,NA,NA,NA,NA,colon,C4349
15,DLD1,DLD1; DLD1,CVCL_0248,SIDM00787,910912,ACH-001061,DLD1_LARGE_INTESTINE,colon,C4349
16,DU-145,DU-145; DU-145; Du-145; DU 145; DU_145,CVCL_0105,SIDM00120,905935,ACH-000979,DU145_PROSTATE,prostate,C4863
17,EFM192B,EFM192B; EFM192B,CVCL_1813,SIDM01054,1240126,NA,NA,breast,C4872
18,EKVX,EKVX; ,CVCL_1195,SIDM00119,905970,ACH-000706,EKVX_LUNG,lung,C2926
19,ES2,ES2; ES-2,CVCL_3509,SIDM00861,1240128,ACH-000906,ES2_OVARY,ovary,C40078
20,HCC-2998,HCC-2998; HCC-2998; HCC.2998; HCC 2998,CVCL_1266,SIDM00118,905971,ACH-001081,HCC2998_LARGE_INTESTINE,colon,C4349
21,HCT116,HCT116; HCT-116; HCT.116; HCT116,CVCL_0291,SIDM00783,905936,ACH-000971,HCT116_LARGE_INTESTINE,colon,C4910
22,HCT-15,HCT-15; HCT-15; HCT15,CVCL_0292,SIDM00789,905937,ACH-000997,HCT15_LARGE_INTESTINE,large_intestine,C4349
23,HL-60(TB),HL-60(TB); HL-60 (TB); HL-60-TB; HL-60TB; HL-60 TB,CVCL_A794,NA,NA,NA,NA,haematopoietic_and_lymphoid,C9154
24,HOP-62,HOP-62; HOP 62; HOP62; Hop62,CVCL_1285,SIDM00133,905972,ACH-000861,HOP62_LUNG,lung,C3512
25,HOP-92,HOP-92; HOP 92; HOP92; Hop92,CVCL_1286,SIDM00134,905973,ACH-000825,HOP92_LUNG,lung,C2926
26,HS 578T,HS 578T; HS 578T; Hs-578T; HS-578T; Hs_578t; Hs-578-T; HS-578-T; Hs 578.T; HS578T; Hs578T; Hs578t; HS0578T; 578T; HS578; Hs578; Homo sapiens No. 578,CVCL_0332,SIDM00135,905957,ACH-000148,HS578T_BREAST,breast,C4194
27,HT144,HT144; HT 144; HT144; HT144-mel; HT144mel,CVCL_0318,SIDM00695,907067,ACH-000322,HT144_SKIN,skin,C3224
28,HT29,HT29; HT 29; HT29,CVCL_0320,SIDM00136,905939,ACH-000552,HT29_LARGE_INTESTINE,colon,C4349
29,IGROV1,IGROV1; IGROV1; IGROV 1; IGR-OV1; Igrov-1; IGR.OV1; IGROV; OV1/P; OV1/p; OV1-P,CVCL_1304,SIDM00151,905968,ACH-000966,IGROV1_OVARY,ovary,C7979
30,K-562,K-562; K562; K 562,CVCL_0004,SIDM00791,905940,ACH-000551,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C3174
31,KM12,KM12; KM-12; KM.12,CVCL_1331,SIDM00150,905989,ACH-000969,KM12_LARGE_INTESTINE,large_intestine,C4910
32,KPL1,KPL1; KPL1,CVCL_2094,SIDM00147,907316,ACH-000028,KPL1_BREAST,breast,C4194
33,LNCAP,LNCAP; LNCAP; LNCap,CVCL_0395,NA,NA,NA,NA,prostate,C4863
34,LOVO,LOVO; LOVO,CVCL_0399,SIDM00839,907790,ACH-000950,LOVO_LARGE_INTESTINE,colon,C4349
35,LOX IMVI,LOX IMVI; LOX/IMVI; LOX IMVI; LOXIM-VI; LOXIMVI; LOX,CVCL_1381,SIDM00149,905974,ACH-000750,LOXIMVI_SKIN,skin,C3802
36,M14,M14; M-14; M14-MEL; UCLA-SO-M14; UCLA SO M14; UCLA-SO-14; Melanoma 14,CVCL_1395,SIDM00003,905975,ACH-002159,M14_SKIN,skin,C3802
37,MALME-3M,MALME-3M; MALME-3M; MALME 3M; Malme-3 M; MALME.3M; Malme3M; MALME3M,CVCL_1438,SIDM00011,905953,ACH-000477,MALME3M_SKIN,skin,C3224
38,MCF7,MCF7; MCF 7; MCF.7; MCF7; Michigan Cancer Foundation-7; ssMCF-7; ssMCF7; MCF7/WT; IBMF-7; MCF7-CTRL,CVCL_0031,SIDM00148,905946,ACH-000019,MCF7_BREAST,breast,C4194
39,MDA-MB-231,MDA-MB-231; MDA-MB 231;  MDA.MB.231;  MDA MB 231;  MDA MB231;  MDA Mb231;  MDA-MB231;  MDAMB-231;  MDAMB231;  MDA-231;  MDA231;  MB231; MDA-MB-231/ATCC,CVCL-0062,NA,NA,NA,NA,breast,C5214
40,MDA-MB-435,MDA-MB-435; MDA-MB435; MDAMB435; MDA.MB.435; MDA-435; MDA 435; MDA435,CVCL_0417,SIDM00004,905988,NA,NA,skin,C3802
41,MDAMB436,MDAMB436; MDA MB 436; MDA-Mb-436; MDA-MB436; MDAMB436; MDA-436; MDA436,CVCL_0623,SIDM00629,1240172,ACH-000573,MDAMB436_BREAST,breast,C4194
42,MDA-MB-468,MDA-MB-468; MDA-MB 468; MDA-MB468; MDAMB468; MDA-468; MDA468; MB468,CVCL_0419,SIDM00628,908123,ACH-000849,MDAMB468_BREAST,breast,C5214
43,MOLT-4,MOLT-4; Molt-4; MOLT 4; Molt 4; MOLT.4; MOLT4; Molt4; GM02219; GM2219C,CVCL_0013,SIDM00145,905958,ACH-001127,MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C9142
44,MSTO,MSTO; MSTO-211H; MSTO-211 H; MSTO211H; 211H,CVCL_1430,SIDM00640,908152,ACH-000335,MSTO211H_PLEURA,lung,C9351
45,NCI/ADR-RES,NCI/ADR-RES; NCI/ADR-RES; NCIADR.RES; NCIADRRES; ADR-RES; MCF-7/ADR; MCF-7/ADR-RES; MCF-7/AdrR; MCF-7/Adr; MCF-7/adr; MCF-7ADR; MCF7ADR; OVCAR-8/ADR; OVCAR8/ADR,CVCL_1452,SIDM00089,NA,NA,NA,ovary,C105555
46,NCIH1650,NCIH1650; H1650; H-1650; H1650_CO; NCIH1650,CVCL_1483,SIDM00745,687800,ACH-000035,NCIH1650_LUNG,lung,C2923
47,NCIH2122,NCIH2122; NCI-H2122; H2122; H-2122,CVCL_1531,SIDM00702,722046,ACH-000311,NCIH2122_LUNG,lung,C3512
48,NCI-H226,NCI-H226; NCI.H226; H226; H-226; HUT-226; HUT 226; NCIH226,CVCL_1544,SIDM00139,905941,ACH-000367,NCIH226_LUNG,lung,C3493
49,NCIH23,NCIH23; NCI.H23; H23; H-23; NCI-H23,CVCL_1547,SIDM00138,905942,ACH-000900,NCIH23_LUNG,lung,C3512
50,NCI-H322M,NCI-H322M; NCI.H322M; H322M; H-322M,CVCL_1557,SIDM00117,905967,ACH-000837,NCIH322_LUNG,lung,C2923
51,NCI-H460,NCI-H460; NCI.H460; H460; H-460; NCIH460; NCI-HUT-460; NCI-460; NCIH460,CVCL_0459,SIDM00144,905943,ACH-000463,NCIH460_LUNG,lung,C4450
52,NCIH520,NCIH520; H520; H-520; NCI-HUT-520; NCIH520,CVCL_1566,SIDM01130,908443,ACH-000395,NCIH520_LUNG,lung,C3493
53,NCI-H522,NCI-H522; NCI.H522; H522; H-522; NCI-522; NCI522; NCIH522,CVCL_1567,SIDM00116,905944,ACH-000343,NCIH522_LUNG,lung,C3512
54,OCUBM,OCUBM; OCUB-M; OCUB-1M,CVCL_1621,SIDM00241,909256,ACH-002179,OCUBM_BREAST,breast,C4872
55,OV90,OV90; OV90,CVCL_3768,SIDM01141,1240197,ACH-000291,OV90_OVARY,ovary,C7700
56,OVCAR3,OVCAR3; Ovcar-3; NIH:OVCAR3; NIH:Ovcar-3; NIH:OVCAR3; NIH-OVCAR-3; OVCAR.3; OVCAR-3,CVCL_0465,SIDM00105,905933,ACH-000001,NIHOVCAR3_OVARY,ovary,C105555
57,OVCAR-4,OVCAR-4; NIH:OVCAR-4; NIH:OVCAR4; OVCAR.4; OVCAR4,CVCL_1627,SIDM00092,905990,ACH-000617,OVCAR4_OVARY,ovary,C105555
58,OVCAR-5,OVCAR-5; NIH:OVCAR-5; OVCAR.5; OVCAR5; OVCA5,CVCL_1628,SIDM00091,905969,ACH-001151,OVCAR5_OVARY,ovary,C105555
59,OVCAR-8,OVCAR-8; NIH:OVCAR-8; OVCAR8; Ovcar8; OVCAR.8; OVCA8,CVCL_1629,SIDM00090,905991,ACH-000696,OVCAR8_OVARY,ovary,C105555
60,PA1,PA1; PA-1; PA I; PAI,CVCL_0479,SIDM01140,909255,ACH-001374,PA1_OVARY,ovary,C4908
61,PC-3,PC-3; PC3; PC.3,CVCL_0035,SIDM00088,905934,ACH-000090,PC3_PROSTATE,prostate,C4863
62,RKO,RKO; ,CVCL_0504,SIDM01090,909698,ACH-000943,RKO_LARGE_INTESTINE,colon,C4910
63,RPMI7951,RPMI7951; RPMI 7951; RPMI7951; Roswell Park Memorial Institute 7951,CVCL_1666,SIDM01087,910903,ACH-000348,RPMI7951_SKIN,skin,C3224
64,RPMI-8226,RPMI-8226; RPMI 8226; RPMI8226; RPMI.8226; 8226; RPMI 8226/S; RPMI-8226S; RPMI8226/S; 8226/S; Roswell Park Memorial Institute 8226; GM02132; GM2132; GM 2132,CVCL_0014,SIDM00087,905964,ACH-000817,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C3242
65,RXF 393,RXF 393; RXF393L; RXF-393 L; RXF-393; RXF 393; RXF.393; RXF393; RXF 393NL,CVCL_1673,SIDM00086,905978,ACH-002195,RXF393_KIDNEY,kidney,C9385
66,SF-268,SF-268; SF-268; SF 268,CVCL_1689,SIDM00085,905986,ACH-000655,SF268_CENTRAL_NERVOUS_SYSTEM,brain,C60781
67,SF-295,SF-295; SF-295; SF 295,CVCL_1690,SIDM00084,905985,ACH-000376,SF295_CENTRAL_NERVOUS_SYSTEM,brain,C3058
68,SF-539,SF-539; SF-539; SF-539 BT; SF 539,CVCL_1691,SIDM00083,905984,ACH-000273,SF539_CENTRAL_NERVOUS_SYSTEM,brain,C3796
69,SK-MEL-2,SK-MEL-2; SK-Mel-2; SK-mel-2; SK.MEL.2; SK Mel 2; SK MEL 2; SKMEL-2; SKMEL2; SK-ML2; SKml2,CVCL_0069,SIDM00082,905955,ACH-001190,SKMEL2_SKIN,skin,C3224
70,SK-MEL-28,SK-MEL-28; SK-Mel-28; SK Mel 28; SK-MEL 28; SK.MEL.28; SK MEL 28; SKMel-28; SKMEL-28; SK-MEL28; SK-Mel28; SKMEL28; SKMel28; AU-Mel; P-36; P36,CVCL_0526,SIDM00081,905954,ACH-000615,SKMEL28_SKIN,skin,C3510
71,SKMEL30,SKMEL30; SK-MEL-30; SK-Mel-30; SK Mel 30; SKMEL-30; Sk Mel30; AW-Mel,CVCL_0039,SIDM00392,909726,ACH-000810,SKMEL30_SKIN,skin,C3510
72,SK-MEL-5,SK-MEL-5; SK-Mel-5; SK MEL 5; SK.MEL.5; SK-MEL5; SKMel-5; SKMEL-5; SKMEL5; SKMel5; AA-Mel,CVCL_0527,SIDM00080,905956,ACH-000730,SKMEL5_SKIN,skin,C3510
73,SKMES1,SKMES1; SK MES 1; SKMES-1; SK-Mes-1; SKMES1; SK-MES; SKMES,CVCL_0630,SIDM01103,909728,ACH-000665,SKMES1_LUNG,lung,C3493
74,SK-OV-3,SK-OV-3; SKOV-3; SK.OV.3; SKOV3; SKO3,CVCL_0532,SIDM00079,905959,ACH-000811,SKOV3_OVARY,ovary,C7978
75,SN12C,SN12C; SN-12C,CVCL_1705,SIDM00094,905979,ACH-002199,SN12C_KIDNEY,kidney,C9385
76,SNB-19,SNB-19; SNB.19; SNB19,CVCL_0535,SIDM00109,NA,ACH-001198,SNB19_CENTRAL_NERVOUS_SYSTEM,brain,C60781
77,SNB-75,SNB-75; SNB.75; SNB75,CVCL_1706,SIDM00095,905982,ACH-000504,SNB75_CENTRAL_NERVOUS_SYSTEM,brain,C3058
78,SR,SR; ,CVCL_1711,SIDM00096,905965,ACH-000338;ACH-000338,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE;SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C7873
79,SW-620,SW-620; SW620; SW 620; SW.620,CVCL_0547,SIDM00841,905962,ACH-000651,SW620_LARGE_INTESTINE,colon,C4349
80,SW837,SW837; SW-837; SW 837,CVCL_1729,SIDM00833,909755,ACH-000421,SW837_LARGE_INTESTINE,colon,C9383
81,T-47D,T-47D; T-47-D; T47-D; T47D:A; T47D,CVCL_0553,SIDM00097,905945,ACH-000147,T47D_BREAST,breast,C4194
82,TK-10,TK-10; TK.10; TK10,CVCL_1773,SIDM00113,905980,ACH-001208,TK10_KIDNEY,kidney,C9385
83,U251,U251; U-251 MG; U-251-MG; U-251_MG; U251-MG; U251MG; U-251; U251; U251n; U251N; 251 MG; 251MG,CVCL_0021,SIDM00111,905983,ACH-000232,U251MG_CENTRAL_NERVOUS_SYSTEM,brain,C60781
84,UACC-257,UACC-257; UACC 257; UACC.257; UACC257,CVCL_1779,SIDM00108,905977,ACH-000579,UACC257_SKIN,skin,C3224
85,UACC62,UACC62; UACC 62; UACC.62; UACC62; UACC-62,CVCL_1780,SIDM00107,905976,ACH-000425,UACC62_SKIN,skin,C3224
86,UO-31,UO-31; UO.31; UO31; U031,CVCL_1911,SIDM00112,905981,ACH-000428,UO31_KIDNEY,kidney,C9385
87,UWB1289,UWB1289; UWB1.289; UWB1-289,CVCL_B079,SIDM00815,1480374,ACH-001418,UWB1289_OVARY,ovary,C4908
88,UWB1289+BRCA1,UWB1289+BRCA1; UWB1.289+BRCA1,CVCL_B078,NA,NA,NA,NA,ovary,C4908
89,VCAP,VCAP; VCAP; Vertebral Cancer of the Prostate,CVCL_2235,SIDM01077,1299075,ACH-000115,VCAP_PROSTATE,prostate,C4863
90,ZR751,ZR751; ZR751; ZR75-1; ZR75_1,CVCL_0588,SIDM00314,998207,ACH-000097,ZR751_BREAST,breast,C4194
91,KBM-7,KBM-7; KBM7; KBM-7/Hap8,CVCL_A426,NA,NA,NA,NA,haematopoietic_and_lymphoid,C3174
92,T98G,T98G; T 98 G; T-98G; T98 G; T98-G,CVCL_0556,SIDM01171,687586,ACH-000571,T98G_CENTRAL_NERVOUS_SYSTEM,brain,C3058
93,TMD8,TMD8; TMD-8; Tokyo Medical and Dental university 8,CVCL_A442,NA,NA,NA,NA,haematopoietic_and_lymphoid,C8851
94,A-673,A-673; A673; RMS 1598; RMS1598,CVCL_0080,SIDM00848,684052,ACH-000052,A673_BONE,bone,C4817
95,EW-8,EW-8; EW8,CVCL_V618,SIDM01500,NA,ACH-000499,EW8_BONE,bone,C4817
96,HDLM-2,HDLM-2; HD-LM-2; HDLM2,CVCL_0009,SIDM01064,924110,ACH-000267,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C9357
97,L-1236,L-1236; L1236; L 1236,CVCL_2096,SIDM00313,1330935,ACH-000702,L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C9357
98,L-428,L-428; L 428; L428,CVCL_1361,SIDM00327,907322,ACH-000754,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C9357
99,PANC-1,PANC-1; Panc-1; PANC.1; Panc 1; PanC1; Panc1; PANC1; Panc-1-P,CVCL_0480,SIDM00610,753625,ACH-000164,PANC1_PANCREAS,pancreas,C9120
100,RD,RD; R D; RD-2; RD 2; 130T; 130-T; 130 T; TE-32; TE 32; TE32; TE 32.T; Te 32.T,CVCL_1649,SIDM00847,909264,ACH-000169,RD_SOFT_TISSUE,soft_tissue,C8971
101,Rh36,Rh36; RH36; Birch; BIRCH,CVCL_M599,SIDM01350,NA,ACH-001751,RH36_SOFT_TISSUE,soft_tissue,C8971
102,SMS-CTR,SMS-CTR; SMS_CTR; SMSCTR,CVCL_A770,SIDM01337,NA,ACH-001196,SMSCTR_SOFT_TISSUE,soft_tissue,C8971
103,SU-DIPG-XIII,SU-DIPG-XIII; SU DIPG XIII; SU-DIPGXIII,CVCL_IT41,NA,NA,NA,NA,brain,C94764
104,TC-32,TC-32; TC32,CVCL_7151,SIDM01465,NA,ACH-001205,TC32_BONE,bone,C3716
105,TC-71,TC-71; TC71; GM11654,CVCL_2213,SIDM00419,1240221,ACH-000424,TC71_BONE,bone,C4817
106,U-HO1,U-HO1; U-H01,CVCL_2220,NA,NA,NA,NA,haematopoietic_and_lymphoid,C9357
107,DIPG25,DIPG25,NA,NA,NA,NA,NA,brain,C94764
108,JHH-136,JHH-136,CVCL_VT28,NA,NA,NA,NA,brain,C3058
109,JHH-520,JHH-520,CVCL_VT33,NA,NA,NA,NA,brain,C3058
110,ED-40515,ED-40515; ED40515; ED-40515(+),CVCL_JF68,NA,NA,NA,NA,haematopoietic_and_lymphoid,C9142
111,KB-3-1,KB-3-1; KB-3-1; KB 3-1; KB3-1; KB31,CVCL_2088,NA,NA,NA,NA,endometrium,C27677
112,KB-ChR-8-5-11,KB-ChR-8-5-11; KB-ChR-8-5-11; KB-8-5-11,CVCL_5997,NA,NA,NA,NA,endometrium,C27677
113,105KC,105KC; 105 KC; KC,CVCL_M605,NA,NA,NA,NA,cartilage,C4303
114,1321N1,1321N1; 1321-N1; 1321 N1,CVCL_0110,NA,NA,NA,NA,brain,C60781
115,143B,143B; 143b; 143 B; 143B TK-; 143BTK-; 143TK-; HOS-143B; HOS-143b; GM05887; GM05887A,CVCL_2270,SIDM00804,906796,ACH-001001,143B_BONE,bone,C9145
116,184A1,184A1; H184A1,CVCL_3040,NA,NA,NA,NA,breast,NA
117,184B5,184B5; 184-B5; B5/589; H184B5,CVCL_4688,NA,NA,NA,NA,breast,NA
118,2004,2004,CVCL_U759,NA,NA,NA,NA,kidney,C8715
119,201T,201T,CVCL_X481,SIDM00055,1287381,ACH-002089,201T_LUNG,lung,C3512
120,21MT-1,21MT-1; 21-MT-1; 21MT1,CVCL_7931,NA,NA,NA,NA,breast,C4872
121,21MT-2,21MT-2; 21-MT-2; 21MT2,CVCL_7932,NA,NA,NA,NA,breast,C4872
122,21NT,21NT; 21 NT,CVCL_7933,NA,NA,NA,NA,breast,C4872
123,21PT,21PT; 21 PT,CVCL_7934,NA,NA,NA,NA,breast,C4872
124,22Rv1,22Rv1; 22RV1; 22Rv-1; 22rV1; CWR22-Rv1; CWR22R-V1; CWR22-R1; CWR22Rv1; CWR22R,CVCL_1045,SIDM00499,924100,ACH-000956,22RV1_PROSTATE,prostate,C4863
125,23132/87,23132/87; 23132-87; 2313287; St 23132; St23132,CVCL_1046,SIDM00980,910924,ACH-000948,2313287_STOMACH,stomach,C4004
126,253J,253J; 253j; 253-J; 253 J; 253J-P; 253J-Parental; 253J P; 253JP,CVCL_7935,SIDM01529,NA,ACH-000011,253J_URINARY_TRACT,urinary_tract,C4912
127,253J-BV,253J-BV; 253JB-V; 253J B-V; 253JBV; 253J-Bladder-V,CVCL_7937,SIDM01624,NA,ACH-000026,253JBV_URINARY_TRACT,urinary_tract,C4912
128,42-MG-BA,42-MG-BA; 42MGBA,CVCL_1798,SIDM00982,687561,ACH-000323,42MGBA_CENTRAL_NERVOUS_SYSTEM,brain,C3058
129,451Lu,451Lu; 451LU; 451-LU; WM 451-Lu; WM-451Lu; WM-451LU; WM451Lu; WM451; WC00059; LU451; Lu451; EST81,CVCL_6357,SIDM01240,1287706,ACH-001002,451LU_SKIN,skin,C3510
130,537-mel,537-mel; 537-MEL; 537 mel; 537 MEL; 537mel; 537MEL; 537; Mel537,CVCL_8052,NA,NA,NA,NA,skin,C3224
131,5637,5637,CVCL_0126,SIDM00807,687452,ACH-000905,5637_URINARY_TRACT,urinary_tract,C4912
132,59M,59M; OAW59M; OAW 59M; 59 M,CVCL_2291,SIDM01528,NA,ACH-000520,59M_OVARY,ovary,C105555
133,600MPE,600MPE; 600 MPE; 600-MPE; MPE-600; MPE 600; MPE600; 600PE; 600-PEI,CVCL_9875,NA,NA,NA,NA,breast,C4194
134,624-mel,624-mel; 624-MEL; 624 MEL; 624 Mel; 624 mel; 624mel; 624MEL; 624; Mel-624; Mel624; MEL624,CVCL_8054,NA,NA,NA,NA,skin,C3224
135,639V,639V; 639v; 639-V; 639 V,CVCL_1048,SIDM00999,906798,ACH-000973,639V_URINARY_TRACT,urinary_tract,C4912
136,647V,647V; 647-V; 647 V,CVCL_1049,SIDM00983,906797,ACH-000896,647V_URINARY_TRACT,urinary_tract,C4912
137,697,697; Line 697; EU-3; Emory University-3,CVCL_0079,SIDM01076,906800,ACH-000070,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C80347
138,769-P,769-P; 769P; 769-p,CVCL_1050,SIDM00803,910922,ACH-000411,769P_KIDNEY,kidney,C9385
139,8-MG-BA,8-MG-BA; 8MGBA,CVCL_1052,SIDM00998,687562,ACH-000137,8MGBA_CENTRAL_NERVOUS_SYSTEM,brain,C3058
140,8305C,8305C; 8305c; 8305-C; 8305C_1,CVCL_1053,SIDM00997,906795,ACH-001306,8305C_THYROID,thyroid,C3878
141,8505C,8505C; 8505c,CVCL_1054,SIDM00996,924102,ACH-001307,8505C_THYROID,thyroid,C3878
142,888-mel,888-mel; 888-MEL; 888 mel; 888mel; 888MEL; 888; Mel888; MG-888,CVCL_4632,NA,NA,NA,NA,skin,C3224
143,A-1207,A-1207; A1207; A 1207,CVCL_8481,SIDM01527,NA,ACH-000283,A1207_CENTRAL_NERVOUS_SYSTEM,brain,C3058
144,A-172,A-172; A172; A 172; A-172 MG; A-172MG,CVCL_0131,SIDM00799,687563,ACH-000558,A172_CENTRAL_NERVOUS_SYSTEM,brain,C3058
145,A-204,A-204; A204,CVCL_1058,SIDM00798,910784,ACH-000201,A204_SOFT_TISSUE,soft_tissue,C8971
146,A-253,A-253; A 253; A253,CVCL_1060,SIDM00796,906794,ACH-000740,A253_SALIVARY_GLAND,salivary_gland,C7991
147,A-388,A-388; A388,CVCL_1063,SIDM00794,910697,ACH-001442,A388_SKIN,skin,C2929
148,A-431,A-431; A431; A431/P,CVCL_0037,SIDM00995,910925,ACH-001328,A431_SKIN,skin,C4052
149,A-704,A-704; A.704; A704,CVCL_1065,SIDM00849,910920,ACH-000429,A704_KIDNEY,kidney,C9385
150,A101D,A101D; A-101D,CVCL_1057,SIDM00801,910921,ACH-000008,A101D_SKIN,skin,C3224
151,A3/Kawakami,A3/Kawakami; A3/KAW; A3-KAW; A3/Kawa,CVCL_1062,SIDM00495,910935,ACH-000697,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C8851
152,A4/Fukuda,A4/Fukuda; A4/Fuk; A4/FUK; A4-Fuk; A4-FUK,CVCL_1064,SIDM00502,910934,ACH-000157,A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C8644
153,ABC-1,ABC-1; ABC1,CVCL_1066,SIDM00494,906791,ACH-000528,ABC1_LUNG,lung,C3512
154,ACC-MESO-1,ACC-MESO-1; ACC-Meso-1; ACCMESO1; MESO-1,CVCL_5113,SIDM01526,NA,ACH-000086,ACCMESO1_PLEURA,pleura,C45662
155,ACCS,ACCS; ACC-S,CVCL_6876,SIDM01166,NA,ACH-001011,ACCS_URINARY_TRACT,urinary_tract,C4912
156,ACN,ACN,CVCL_1068,SIDM00057,906803,ACH-002389,ACN_AUTONOMIC_GANGLIA,autonomic_ganglia,C3270
157,AGS,AGS,CVCL_0139,SIDM00850,906790,ACH-000880,AGS_STOMACH,stomach,C4004
158,ALL-PO,ALL-PO; ALLPO; AllPO,CVCL_1069,SIDM00211,910944,ACH-002209,ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C9140
159,ALL-SIL,ALL-SIL; ALLSIL; SIL-ALL; Sil-ALL,CVCL_1805,SIDM00994,1295740,ACH-000105,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C7953
160,AM-38,AM-38; AM38; AM,CVCL_1070,SIDM00492,910933,ACH-000269,AM38_CENTRAL_NERVOUS_SYSTEM,brain,C3058
161,AML-193,AML-193; AML193,CVCL_1071,SIDM01525,NA,ACH-000557,AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C9160
162,AMO1,AMO1; AMo1; AMO-1,CVCL_1806,SIDM00993,1295741,ACH-000838,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C3242
163,AN3-CA,AN3-CA; AN3 CA; AN3 Ca; AN3CA; AN-3; AN3; Acanthosis Nigricans 3rd attempt-CArcinoma,CVCL_0028,SIDM00901,910781,ACH-000940,AN3CA_ENDOMETRIUM,endometrium,C7359
164,ARH-77,ARH-77; ARH 77; ARH77,CVCL_1072,SIDM00900,906765,ACH-002210,ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,NA
165,ASH-3,ASH-3; ASH3,CVCL_2856,SIDM00491,1290722,ACH-001443,ASH3_THYROID,thyroid,C3878
