dname,chembl_id,inchikey,smiles,cid,molecular_formula,clinical_phase,cid_m,cid_s,stitch_name,drugbank_id,kegg_id,target_genes,PUBCHCID,TTD_TARGETS
METHOTREXATE,CHEMBL34259,FBOZXECLQNJBKD-ZDUSSCGKSA-N,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,126941,C20H22N8O5,4,CIDm00004112,CIDs00126941,methotrexate,DB00563,D00142,,126941,"SLC46A1,SLC19A1"
SN-38,CHEMBL837,FJHBVJOVLFPMQE-QFIPXVFZSA-N,CCC1=C2C=C(C=CC2=NC3=C1CN4C3=CC5=C(C4=O)COC(=O)C5(CC)O)O,104842,C22H20N2O5,0,CIDm00104842,CIDs00104842,7-ethyl-10-hydroxycamptothecin,DB05482,C11173,,104842,TOP1
SORAFENIB,CHEMBL1336,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,216239,C21H16ClF3N4O3,4,CIDm00216239,CIDs00216239,sorafenib,DB00398,D08524,,216239,"KIT,KDR,PDGFRB,EGFR"
SUNITINIB,CHEMBL535,WINHZLLDWRZWRT-ATVHPVEESA-N,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,5329102,C22H27FN4O2,4,CIDm03086686,CIDs05329102,sunitinib,DB01268,D06402,,5329102,KDR
TOPOTECAN,CHEMBL84,UCFGDBYHRUNTLO-QHCPKHFHSA-N,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=C(C5=C4)CN(C)C)O)O,60700,C23H23N3O5,4,CIDm00005515,CIDs00060699,topotecan,DB01030,D08618,,60700,TOP1
VINBLASTINE,CHEMBL159,JXLYSJRDGCGARV-CFWMRBGOSA-N,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,13342,C46H58N4O9,4,CIDm00013342,CIDs00013342,vinblastine,DB00570,,,13342,TUBB2A
ZOLINZA,CHEMBL98,WAEXFXRVDQXREF-UHFFFAOYSA-N,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,5311,C14H20N2O3,4,CIDm00005311,CIDs00005311,vorinostat,DB02546,D06320,,5311,HDAC1
2-FLUORO ARA-A,CHEMBL1568,HBUBKKRHXORPQB-FJFJXFQQSA-N,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)F,657237,C10H12FN5O4,4,CIDm00003367,CIDs00657237,fludarabine,DB01073,D01907,,657237,ADA
ABIRATERONE,CHEMBL254328,GZOSMCIZMLWJML-VJLLXTKPSA-N,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,132971,C24H31NO,4,CIDm00132971,CIDs00132971,abiraterone,DB05812,D09701,,132971,CYP17A1
ALLOPURINOL,CHEMBL1467,OFCNXPDARWKPPY-UHFFFAOYSA-N,C1=C2C(=NC=NC2=O)NN1,2094,C5H4N4O,4,CIDm00002094,CIDs00002094,allopurinol,DB00437,D00224,,2094,XDH
AMINOLEVULINIC ACID HYDROCHLORIDE,CHEMBL1200582,ZLHFONARZHCSET-UHFFFAOYSA-N,C(CC(=O)O)C(=O)CN.Cl,123608,C5H10ClNO3,4,CIDm00000137,CIDs00000137,5-aminolevulinic acid,,D02908,,123608,PPOX
ANASTROZOLE,CHEMBL1399,YBBLVLTVTVSKRW-UHFFFAOYSA-N,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,2187,C17H19N5,4,CIDm00002187,CIDs00002187,anastrozole,DB01217,D00960,,2187,CYP19A1
AXITINIB,CHEMBL1289926,RITAVMQDGBJQJZ-FMIVXFBMSA-N,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,6450551,C22H18N4OS,4,CIDm03086685,CIDs06450551,axitinib,DB06626,D03218,,6450551,KDR
CAPECITABINE,CHEMBL1773,GAGWJHPBXLXJQN-UORFTKCHSA-N,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,60953,C15H22FN3O6,4,CIDm00060953,CIDs00060953,capecitabine,DB01101,D01223,,60953,Candi TMP1
CELECOXIB,CHEMBL118,RZEKVGVHFLEQIL-UHFFFAOYSA-N,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,2662,C17H14F3N3O2S,4,CIDm00002662,CIDs00002662,celecoxib,DB00482,D00567,,2662,PTGS2
CLADRIBINE,CHEMBL1619,PTOAARAWEBMLNO-KVQBGUIXSA-N,C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O,20279,C10H12ClN5O3,4,CIDm00001546,CIDs00020279,cladribine,DB00242,D01370,,20279,ADA
CLOFARABINE,CHEMBL1750,WDDPHFBMKLOVOX-AYQXTPAHSA-N,C1=NC2=C(N1C3C(C(C(O3)CO)O)F)N=C(N=C2N)Cl,119182,C10H11ClFN5O3,4,CIDm00119182,CIDs00119182,clofarabine,DB00631,D03546,,119182,RIR
CRIZOTINIB,CHEMBL601719,KTEIFNKAUNYNJU-GFCCVEGCSA-N,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,11626560,C21H22Cl2FN5O,4,CIDm11597571,CIDs11626560,crizotinib,DB08865,D09731,,11626560,"MET,ALK,ROS1"
DEXRAZOXANE,CHEMBL1738,BMKDZUISNHGIBY-ZETCQYMHSA-N,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,71384,C11H16N4O4,4,CIDm00030623,CIDs00071384,dexrazoxane,DB00380,D03730,,71384,"TOP2B,TOP2A; TOP2B"
EVEROLIMUS,CHEMBL1908360,HKVAMNSJSFKALM-GKUWKFKPSA-N,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC,6442177,C53H83NO14,4,CIDm00176872,CIDs06442177,everolimus,DB01590,D02714,,6442177,MTOR
EXEMESTANE,CHEMBL1200374,BFYIZQONLCFLEV-DAELLWKTSA-N,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,60198,C20H24O2,4,CIDm00060198,CIDs00060198,exemestane,DB00990,D00963,,60198,CYP19A1
FLOXURIDINE,CHEMBL917,ODKNJVUHOIMIIZ-RRKCRQDMSA-N,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O,5790,C9H11FN2O5,4,CIDm00003363,CIDs00005790,FUdR,DB00322,D04197,,5790,Candi TMP1
FULVESTRANT,CHEMBL1358,VWUXBMIQPBEWFH-WCCTWKNTSA-N,CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,104741,C32H47F5O3S,4,CIDm00104741,CIDs00104741,fulvestrant,,D01161,,104741,ESR1
GEFITINIB,CHEMBL939,XGALLCVXEZPNRQ-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,123631,C22H24ClFN4O3,4,CIDm00123631,CIDs00123631,gefitinib,DB00317,D01977,,123631,EGFR
HYDROXYUREA,CHEMBL467,VSNHCAURESNICA-UHFFFAOYSA-N,C(=O)(N)NO,3657,CH4N2O2,4,CIDm00003657,CIDs00003657,hydroxyurea,DB01005,D00341,,3657,RRM2
IMIQUIMOD,CHEMBL1282,DOUYETYNHWVLEO-UHFFFAOYSA-N,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N,57469,C14H16N4,4,CIDm00057469,CIDs00057469,imiquimod,DB00724,D02500,,57469,TLR7
LENALIDOMIDE,CHEMBL848,GOTYRUGSSMKFNF-UHFFFAOYSA-N,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,216326,C13H13N3O3,4,CIDm00216326,CIDs00216326,lenalidomide,DB00480,D04687,,216326,TNF
LETROZOLE,CHEMBL1444,HPJKCIUCZWXJDR-UHFFFAOYSA-N,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,3902,C17H11N5,4,CIDm00003902,CIDs00003902,letrozole,DB01006,D00964,,3902,CYP19A1
MERCAPTOPURINE,CHEMBL1425,GLVAUDGFNGKCSF-UHFFFAOYSA-N,C1=NC2=C(N1)C(=S)N=CN2,667490,C5H4N4S,4,CIDm00667490,CIDs00667490,6-mercaptopurine,DB01033,D04931,,667490,"IMPDH1,PPAT"
METHOXSALEN,CHEMBL416,QXKHYNVANLEOEG-UHFFFAOYSA-N,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,4114,C12H8O4,4,CIDm00004114,CIDs00004114,8-methoxypsoralen,DB00553,D00139,,4114,CYP2A6
MITOTANE,CHEMBL1670,JWBOIMRXGHLCPP-UHFFFAOYSA-N,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,4211,C14H10Cl4,4,CIDm00004211,CIDs00004211,mitotane,DB00648,D00420,,4211,ESR1
MITOXANTRONE,CHEMBL58,KKZJGLLVHKMTCM-UHFFFAOYSA-N,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,4212,C22H28N4O6,4,CIDm00004212,CIDs00004212,mitoxantrone,DB01204,D08224,,4212,TOP2A; TOP2B
NILOTINIB,CHEMBL255863,HHZIURLSWUIHRB-UHFFFAOYSA-N,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5,644241,C28H22F3N7O,4,CIDm00644241,CIDs00644241,nilotinib,DB04868,D08953,,644241,MCL1
PAZOPANIB HYDROCHLORIDE,CHEMBL1201733,MQHIQUBXFFAOMK-UHFFFAOYSA-N,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N.Cl,11525740,C21H24ClN7O2S,4,CIDm10113978,CIDs10113978,pazopanib,,D05380,,11525740,"KIT,KDR"
PENTOSTATIN,CHEMBL1580,FPVKHBSQESCIEP-JQCXWYLXSA-N,C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O,439693,C11H16N4O4,4,CIDm00004739,CIDs00439693,pentostatin,DB00552,D00155,,439693,ADA
PRALATREXATE,CHEMBL1201746,OGSBUKJUDHAQEA-WMCAAGNKSA-N,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,148121,C23H23N7O5,4,CIDm00148121,CIDs00148121,pralatrexate,DB06813,D05589,,148121,PDF
ROMIDEPSIN,CHEMBL343448,OHRURASPPZQGQM-GCCNXGTGSA-N,CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,5352062,C24H36N4O6S2,4,CIDm00003425,CIDs05352062,depsipeptide,,D06637,,5352062,HDAC1
RUXOLITINIB,CHEMBL1789941,HFNKQEVNSGCOJV-OAHLLOKOSA-N,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,25126798,C17H18N6,4,CIDm17754772,CIDs25126797,ruxolitinib,DB08877,D09959,,25126798,"JAK2,JAK1,PLAUR"
SIROLIMUS,CHEMBL413,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,5284616,C51H79NO13,4,CIDm00005040,CIDs05284616,rapamycin,DB00877,D00753,,5284616,MTOR
TENIPOSIDE,CHEMBL452231,NRUKOCRGYNPUPR-QBPJDGROSA-N,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O,452548,C32H32O13S,4,CIDm00005396,CIDs00452548,teniposide,DB00444,D02698,,452548,TOP2A; TOP2B
THALIDOMIDE,CHEMBL468,UEJJHQNACJXSKW-UHFFFAOYSA-N,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,5426,C13H10N2O4,4,CIDm00005426,CIDs00005426,thalidomide,DB01041,D00754,,5426,TNF
TOPOTECAN HYDROCHLORIDE,CHEMBL1607,DGHHQBMTXTWTJV-BQAIUKQQSA-N,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=C(C5=C4)CN(C)C)O)O.Cl,60699,C23H24ClN3O5,4,CIDm00005515,CIDs00060699,topotecan,,D02168,,60699,TOP1
TRETINOIN,CHEMBL38,SHGAZHPCJJPHSC-YCNIQYBTSA-N,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,444795,C20H28O2,4,CIDm00005538,CIDs00444795,retinoic acid,,D00094,,444795,RARG
VANDETANIB,CHEMBL24828,UHTHHESEBZOYNR-UHFFFAOYSA-N,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,3081361,C22H24BrFN4O2,4,CIDm03081361,CIDs03081361,vandetanib,DB05294,D06407,,3081361,"RET,KDR,EGFR"
VEMURAFENIB,CHEMBL1229517,GPXBXXGIAQBQNI-UHFFFAOYSA-N,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)C4=CC=C(C=C4)Cl)F,42611257,C23H18ClF2N3O3S,4,CIDm42611257,CIDs42611257,vemurafenib,DB08881,D09996,,42611257,BRAF
VISMODEGIB,CHEMBL473417,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,24776445,C19H14Cl2N2O3S,4,CIDm24776445,CIDs24776445,vismodegib,DB08828,D09992,,24776445,SMO
ZOLEDRONIC ACID,CHEMBL924,XRASPMIURGNCCH-UHFFFAOYSA-N,C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O,68740,C5H10N2O7P2,4,CIDm00068740,CIDs00068740,zoledronic acid,DB00399,D01968,,68740,FDPS
L778123,CHEMBL279433,JNUGFGAVPBYSHF-UHFFFAOYSA-N,C1CN(C(=O)CN1CC2=CN=CN2CC3=CC=C(C=C3)C#N)C4=CC(=CC=C4)Cl,216454, C22H20ClN5O,0,CIDm00216453,CIDs00216453,L-778123,DB07227,,,216454,"FNTB; FNTA,PGGT1B"
4'-EPIADRIAMYCIN,CHEMBL417,AOJJSUZBOXZQNB-VTZDEGQISA-N,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,41867,C27H29NO11,4,CIDm00001690,CIDs00041867,doxorubicin,DB00445,D07901,,41867,TOP2A; TOP2B
ARSENIC TRIOXIDE,,QTLQKAJBUDWPIB-UHFFFAOYSA-N,[O-2].[O-2].[O-2].[As+3].[As+3],14888,As2O3,4,CIDm00014888,CIDs00014888,arsenic trioxide,,C13619,,14888,IKBKB
DESOXYCORTICOSTERONE PIVALATE,CHEMBL1200592,VVOIQBFMTVCINR-WWMZEODYSA-N,CC12CCC3C(C1CCC2C(=O)COC(=O)C(C)(C)C)CCC4=CC(=O)CCC34C,11876263,C26H38O4,4,CIDm00013126,CIDs11876263,DOCP,DB01134,D03699,,11876263,NR3C2
ALISKIREN,CHEMBL1639,UXOWGYHJODZGMF-QORCZRPOSA-N,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,5493444,C30H53N3O6,4,CIDm00216209,CIDs05493444,aliskiren,DB09026,D03208,,5493444,REN
CHLOROQUINE,CHEMBL76,WHTVZRBIWZFKQO-UHFFFAOYSA-N,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,2719,C18H26ClN3,4,CIDm00002719,CIDs00002719,chloroquine,DB00608,D02366,,2719,ACKR1
ZALEPLON,CHEMBL1521,HUNXMJYCHXQEGX-UHFFFAOYSA-N,CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C,5719,C17H15N5O,4,CIDm00005719,CIDs00005719,zaleplon,DB00962,D00530,,5719,GABRA1
MAPROTILINE,CHEMBL21731,QSLMDECMDJKHMQ-UHFFFAOYSA-N,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,4011,C20H23N,4,CIDm00004011,CIDs00004011,maprotiline,DB00934,D02566,,4011,SLC6A2
ARGATROBAN,CHEMBL1166,KXNPVXPOPUZYGB-IOVMHBDKSA-N,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,92722,C23H36N6O5S,4,CIDm00002232,CIDs00092721,argatroban,,,,92722,F2
PYRIDOSTIGMINE BROMIDE,CHEMBL812,VNYBTNPBYXSMOO-UHFFFAOYSA-M,C[N+]1=CC=CC(=C1)OC(=O)N(C)C.[Br-],7550,C9H13BrN2O2,4,CIDm00004991,CIDs00004991,pyridostigmine,,D00487,,7550,F10
AZATADINE,CHEMBL946,SEBMTIQKRHYNIT-UHFFFAOYSA-N,CN1CCC(=C2C3=CC=CC=C3CCC4=C2N=CC=C4)CC1,19861,C20H22N2,4,CIDm00019861,CIDs00019861,azatadine,DB00719,D07482,,19861,HRH1
PRAMIPEXOLE,CHEMBL301265,FASDKYOPVNHBLU-ZETCQYMHSA-N,CCCNC1CCC2=C(C1)SC(=N2)N,119570,C10H17N3S,4,CIDm00004885,CIDs00119569,pramipexole,DB00413,D00559,,119570,"DRD2,DRD3"
NORCISAPRIDE,CHEMBL1748,OMLDMGPCWMBPAN-UHFFFAOYSA-N,COC1CNCCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl,3019427,C14H20ClN3O3,0,CIDm00216236,CIDs03019427,norcisapride,,,,3019427,"HTR4,HTR3A"
AMODIAQUINE,CHEMBL682,OVCDSSHSILBFBN-UHFFFAOYSA-N,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,2165,C20H22ClN3O,4,CIDm00002165,CIDs00002165,amodiaquine,DB00613,D02922,,2165,HNMT
AMILORIDE,CHEMBL945,XSDQTOBWRPYKKA-UHFFFAOYSA-N,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,16231,C6H8ClN7O,4,CIDm00016230,CIDs00016230,amiloride,DB00594,D07447,,16231,ASIC1
HYDROXYCHLOROQUINE,CHEMBL1535,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,3652,C18H26ClN3O,4,CIDm00003652,CIDs00003652,hydroxychloroquine,DB01611,D08050,,3652,TLR7
CLOPIDOGREL,CHEMBL1771,GKTWGGQPFAXNFI-HNNXBMFYSA-N,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,60606,C16H16ClNO2S,4,CIDm00002806,CIDs00060606,clopidogrel,DB00758,D00769,,60606,P2RY12
OSELTAMIVIR,CHEMBL1229,VSZGPKBBMSAYNT-RRFJBIMHSA-N,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC,65028,C16H28N2O4,4,CIDm00004603,CIDs00065028,oseltamivir,DB00198,D00900,,65028,Influ NA
DOPAMINE,CHEMBL59,VYFYYTLLBUKUHU-UHFFFAOYSA-N,C1=CC(=C(C=C1CCN)O)O,681,C8H11NO2,4,CIDm00000681,CIDs00000681,dopamine,DB00988,D07870,,681,DRD2
TRIFLUOPERAZINE,CHEMBL422,ZEWQUBUPAILYHI-UHFFFAOYSA-N,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,5566,C21H24F3N3S,4,CIDm00005566,CIDs00005566,trifluoperazine,DB00831,D08636,,5566,CALM
MARAVIROC,CHEMBL584744,GSNHKUDZZFZSJB-HLMSNRGBSA-N,CC1=NN=C(N1C2CC3CCC(C2)N3CCC(C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C,3002977,C29H41F2N5O,4,CIDm00483407,CIDs03002977,maraviroc,DB04835,,,3002977,"CCR5,CCR5"
DIPHENIDOL,CHEMBL936,OGAKLTJNUQRZJU-UHFFFAOYSA-N,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,3055,C21H27NO,4,CIDm00003055,CIDs00003055,diphenidol,DB01231,D03858,,3055,CHRM4
PARGYLINE,CHEMBL673,DPWPWRLQFGFJFI-UHFFFAOYSA-N,CN(CC#C)CC1=CC=CC=C1,4688,C11H13N,4,CIDm00004688,CIDs00004688,pargyline,DB01626,D08453,,4688,MAOB
FLUVOXAMINE,CHEMBL814,CJOFXWAVKWHTFT-XSFVSMFZSA-N,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,5324346,C15H21F3N2O2,4,CIDm00003404,CIDs05324345,fluvoxamine,,D07984,,5324346,SLC6A4
PROGUANIL,CHEMBL1377,SSOLNOMRVKKSON-UHFFFAOYSA-N,CC(C)N=C(N)N=C(N)NC1=CC=C(C=C1)Cl,6178111,C11H16ClN5,4,CIDm00004923,CIDs06178111,proguanil,,D08428,,6178111,PDF
