,dname,chembl_id,inchikey,smiles,cid,molecular_formula,clinical_phase,cid_m,cid_s,stitch_name,drugbank_id,kegg_id,target_genes
269,NATEGLINIDE,CHEMBL783,OELFLUMRDSZNSF-OFLPRAFFSA-N,CC(C)C1CCC(CC1)C(=O)NC(CC2=CC=CC=C2)C(=O)O,5311309,C19H27NO3,4,CIDm00004443,CIDs05311309,nateglinide,DB00731,D01111,"ABCC8,KCNJ11,CYP3A4,INS,KCNJ10,PPARG"
521,GLIMEPIRIDE,CHEMBL149223,WIGIZIANZCJQQY-UHFFFAOYSA-N,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,3476,C24H34N4O5S,4,CIDm00003476,CIDs00003476,glimepiride,DB00222,D00593,"ABCC8,KCNJ11,KCNJ1"
520,GLICLAZIDE,CHEMBL427216,BOVGTQGAOIONJV-UHFFFAOYSA-N,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,3475,C15H21N3O3S,4,CIDm00003475,CIDs00003475,gliclazide,DB01120,D01599,"ABCC8,KCNJ11,VEGFA"
828,NICORANDIL,CHEMBL284906,LBHIOVVIQHSOQN-UHFFFAOYSA-N,C1=CC(=CN=C1)C(=O)NCCO[N+](=O)[O-],47528,C8H9N3O4,4,CIDm00047528,CIDs00047528,nicorandil,DB09220,D01810,"ABCC9,KCNJ11,KCNJ8"
351,PINACIDIL,CHEMBL1159,IVVNZDGDKPTYHK-UHFFFAOYSA-N,CC(C(C)(C)C)N=C(NC#N)NC1=CC=NC=C1,4826,C13H19N5,4,CIDm00004826,CIDs00004826,pinacidil,,,"ABCC9,KCNJ8"
1384,GNF-2,CHEMBL483847,WEVYNIUIFUYDGI-UHFFFAOYSA-N,C1=CC(=CC(=C1)C(=O)N)C2=CC(=NC=N2)NC3=CC=C(C=C3)OC(F)(F)F,5311510,C18H13F3N4O2,0,CIDm05311510,CIDs05311510,BCR-ABL inhibitor,,,"ABL1,BCR"
7,DASATINIB,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C,3062316,C22H26ClN7O2S,4,CIDm03062316,CIDs03062316,dasatinib,DB01254,D03658,"ABL1,FYN,LCK,SRC,KIT,YES1,BCR,EPHA2,LYN,PDGFRB,ABL2,BTK,DDR1,DDR2,PDGFRA,STAT5B"
89,NILOTINIB,CHEMBL255863,HHZIURLSWUIHRB-UHFFFAOYSA-N,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5,644241,C28H22F3N7O,4,CIDm00644241,CIDs00644241,nilotinib,DB04868,D08953,"ABL1,KIT,BCR,CYP2B6,CYP2C8,DDR1,DDR2,PDGFRA"
75,IMATINIB MESYLATE,CHEMBL1642,YLMAHDNUQAMNNX-UHFFFAOYSA-N,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,123596,C30H35N7O4S,4,CIDm00005291,CIDs00005291,imatinib,,D01441,"ABL1,KIT,PDGFRA,BCR,CSF1R,PDGFRB,ABCG2,CYP2C19,CYP2C8,CYP3A5,DDR1,NTRK1,RET"
1391,BOSUTINIB (SKI-606),CHEMBL288441,UBPYILGKFZZVDX-UHFFFAOYSA-N,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,5328940,C26H29Cl2N5O3,4,CIDm05328940,CIDs05328940,bosutinib,DB06616,D03252,"ABL1,SRC,BCR,CAMK2G,LYN,CAMK1D,CDK2,FRK,FYN,HCK,MAP2K1,MAP2K2,MAP3K2,MAP4K5,STK10,STK24,STK4,TNK2,TXK"
22,METFORMIN,CHEMBL1431,XZWYZXLIPXDOLR-UHFFFAOYSA-N,CN(C)C(=N)N=C(N)N,4091,C4H11N5,4,CIDm00004091,CIDs00004091,metformin,DB00331,D04966,"ACACB,INS,PRKAB1"
1040,ILOMASTAT,CHEMBL19611,NITYDPDXAAFEIT-DYVFJYSZSA-N,CC(C)CC(CC(=O)NO)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC,132519,C20H28N4O4,0,CIDm00003498,CIDs00132519,galardin,DB02255,D03793,"ACAN,ADAM28,MMP1,MMP12,MMP13,MMP14,MMP2,MMP3,MMP8,MMP9"
209,ENALAPRILAT,CHEMBL577,LZFZMUMEGBBDTC-QEJZJMRPSA-N,CC(C(=O)N1CCCC1C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O,5462501,C18H24N2O5,4,CIDm00443379,CIDs05462501,enalaprilat,DB09477,D03769,ACE
847,QUINAPRIL HCL,CHEMBL1201011,IBBLRJGOOANPTQ-JKVLGAQCSA-N,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC=CC=C3CC2C(=O)O.Cl,54891,C25H31ClN2O5,4,CIDm00005005,CIDs00054891,quinapril,,D00459,ACE
1403,BENAZEPRIL HCL,CHEMBL1694,VPSRQEHTHIMDQM-FKLPMGAJSA-N,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O.Cl,5362123,C24H29ClN2O5,4,CIDm00002311,CIDs05362123,benazepril,,D00620,ACE
1404,RAMIPRIL,CHEMBL1168,HDACQVRGBOVJII-JBDAPHQKSA-N,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O,5362129,C23H32N2O5,4,CIDm00005038,CIDs05362129,ramipril,DB00178,D00421,ACE
1407,ENALAPRIL MALEATE,CHEMBL1200659,OYFJQPXVCSSHAI-QFPUQLAESA-N,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O.C(=CC(=O)O)C(=O)O,5388961,C24H32N2O9,4,CIDm00003222,CIDs05388961,enalapril,,D00621,ACE
2337,PERINDOPRIL,CHEMBL1581,IPVQLZZIHOAWMC-QXKUPLGCSA-N,CCCC(C(=O)OCC)NC(C)C(=O)N1C2CCCCC2CC1C(=O)O,107807,C19H32N2O5,4,CIDm00060184,CIDs00107807,perindopril,DB00790,D03753,ACE
1325,BUTEIN,CHEMBL128000,AYMYWHCQALZEGT-ORCRQEGFSA-N,C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O)O,5281222,C15H12O5,0,CIDm00002483,CIDs05281222,butein,,C08578,"ACE,CXCL8,IL6,SIRT1,SRD5A1,SRD5A2,TNF"
822,CAPTOPRIL,CHEMBL1560,FAKRSMQSSFJEIM-RQJHMYQMSA-N,CC(CS)C(=O)N1CCCC1C(=O)O,44093,C9H15NO3S,4,CIDm00002550,CIDs00044093,captopril,DB01197,D00251,"ACE,LTA4H,MMP2,MMP9"
132,PYRIDOSTIGMINE BROMIDE,CHEMBL812,VNYBTNPBYXSMOO-UHFFFAOYSA-M,C[N+]1=CC=CC(=C1)OC(=O)N(C)C.[Br-],7550,C9H13BrN2O2,4,CIDm00004991,CIDs00004991,pyridostigmine,,D00487,"ACHE,BCHE"
205,TACRINE,CHEMBL95,YLJREFDVOIBQDA-UHFFFAOYSA-N,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,1935,C13H14N2,4,CIDm00001935,CIDs00001935,tacrine,DB00382,D08555,"ACHE,BCHE"
227,GALANTAMINE,CHEMBL659,ASUTZQLVASHGKV-JDFRZJQESA-N,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,9651,C17H21NO3,4,CIDm00003449,CIDs00009651,galantamine,DB00674,D04292,"ACHE,BCHE,CHRNA1,CHRNA10,CHRNA2,CHRNA3,CHRNA4,CHRNA5,CHRNA6,CHRNA7,CHRNA9,CHRNB1,CHRNB2,CHRNB3,CHRNB4,CHRND,CHRNE,CHRNG"
85,METHOXSALEN,CHEMBL416,QXKHYNVANLEOEG-UHFFFAOYSA-N,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,4114,C12H8O4,4,CIDm00004114,CIDs00004114,8-methoxypsoralen,DB00553,D00139,"ACHE,CYP1A2"
3271,Methylene Blue cation,CHEMBL191083,RBTBFTRPCNLSDE-UHFFFAOYSA-N,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2,4139,C16H18N3S+,4,CIDm00004139,CIDs00004139,methylene blue,DB08167,,"ACHE,MAPT"
756,ACETYLCYSTEINE,CHEMBL600,PWKSKIMOESPYIA-BYPYZUCNSA-N,CC(=O)NC(CS)C(=O)O,12035,C5H9NO3S,4,CIDm00000581,CIDs00012035,N-acetylcysteine,DB06151,D00221,"ACY1,CHUK,GRIN1,GRIN2A,GRIN2B,GRIN2D,GRIN3A,GSS,IKBKB,RELA,SLC7A11"
36,2-FLUORO ARA-A,CHEMBL1568,HBUBKKRHXORPQB-FJFJXFQQSA-N,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)F,657237,C10H12FN5O4,4,CIDm00003367,CIDs00657237,fludarabine,DB01073,D01907,"ADA,DCK,POLA1,RRM1,RRM2"
2462,2-Fluoroadenosine,CHEMBL290077,HBUBKKRHXORPQB-UUOKFMHZSA-N,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)F,8975,C10H12FN5O4,0,CIDm00003367,CIDs00008975,fludarabine,DB04441,,"ADA,DCK,POLA1,RRM1,RRM2"
232,DIPYRIDAMOLE,CHEMBL932,IZEKFCXSFNUWAM-UHFFFAOYSA-N,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,3108,C24H40N8O4,4,CIDm00003108,CIDs00003108,dipyridamole,DB00975,D00302,"ADA,PDE5A,PDE10A,PDE4A,PDE7B,PDE8A,PDE8B,SLC29A1"
53,CLADRIBINE,CHEMBL1619,PTOAARAWEBMLNO-KVQBGUIXSA-N,C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O,20279,C10H12ClN5O3,4,CIDm00001546,CIDs00020279,cladribine,DB00242,D01370,"ADA,PNP,POLA1,POLE,POLE2,POLE3,POLE4,RRM1,RRM2,RRM2B"
1405,BATIMASTAT (BB-94),CHEMBL279786,XFILPEOLDIKJHX-QYZOEREBSA-N,CC(C)CC(C(CSC1=CC=CS1)C(=O)NO)C(=O)NC(CC2=CC=CC=C2)C(=O)NC,5362422,C23H31N3O4S2,0,CIDm00002299,CIDs05362422,batimastat,DB03880,D03061,"ADAM28,ADAMTS5,MMP1,MMP12,MMP16,MMP2,MMP7,MMP8"
831,FORSKOLIN,CHEMBL52606,OHCQJHSOBUTRHG-KGGHGJDLSA-N,CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O,47936,C22H34O7,0,CIDm00003413,CIDs00047936,forskolin,DB02587,D03584,"ADCY2,ADCY5,GNAS"
780,VIDARABINE,CHEMBL1090,OIRDTQYFTABQOQ-UHTZMRCNSA-N,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O,21704,C10H13N5O4,4,CIDm00000191,CIDs00021704,adenosine,DB00194,D00406,ADCY5
1487,(-)-PARTHENOLIDE,CHEMBL388727,KTEXNACQROZXEV-PVLRGYAZSA-N,CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C,7251185,C15H20O3,1,CIDm00004692,CIDs07251185,parthenolide,,,"ADIPOR2,IKBKB,RELA"
835,DOXOFYLLINE,CHEMBL1527608,HWXIGFIVGWUZAO-UHFFFAOYSA-N,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC3OCCO3,50942,C11H14N4O4,0,CIDm00050942,CIDs00050942,doxofylline,DB09273,D03898,ADORA1
344,THEOPHYLLINE,CHEMBL190,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,CN1C2=C(C(=O)N(C1=O)C)NC=N2,2153,C7H8N4O2,4,CIDm00002153,CIDs00002153,theophylline,DB00277,D00371,"ADORA1,ADORA2A,ADORA2B,ADORA3,CHIA,CYP2E1,CYP3A4,HDAC2,PDE3A,PDE4A,PDE4B,PDE5A"
4091,caffeine,CHEMBL113,RYYVLZVUVIJVGH-UHFFFAOYSA-N,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,2519,C8H10N4O2,4,CIDm00002519,CIDs00002519,caffeine,DB00201,D00528,"ADORA1,ADORA2A,ADORA2B,ATM,ITPR1,RYR1,ADORA3,ATR,ITPR2,ITPR3,PDE10A,PDE11A,PDE1A,PDE1B,PDE1C,PDE2A,PDE3A,PDE3B,PDE4A,PDE4B,PDE4C,PDE4D,PDE5A,PDE6A,PDE6B,PDE6C,PDE7A,PDE7B,PDE8A,PDE8B,PDE9A,PIK3CA,PIK3CB,PIK3CD,PRKDC,RYR2,RYR3"
629,THEOBROMINE,CHEMBL1114,YAPQBXQYLJRXSA-UHFFFAOYSA-N,CN1C=NC2=C1C(=O)NC(=O)N2C,5429,C7H8N4O2,3,CIDm00005429,CIDs00005429,theobromine,DB01412,C07480,"ADORA1,ADORA2A,PDE4B"
1333,MORIN HYDRATE,CHEMBL28626,YXOLAZRVSSWPPT-UHFFFAOYSA-N,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,5281670,C15H10O7,0,CIDm03365422,CIDs03365422,morin hydrate,,C10105,"ADORA2A,CYP1A2,ESR2,FASN,MCL1,SLC22A12"
239,MEFLOQUINE,CHEMBL172,XEEQGYMUWCZPDN-DOMZBBRYSA-N,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,40692,C17H16F6N2O,4,CIDm00004046,CIDs00040692,mefloquine,,D04895,"ADORA2A,HBA1,PANX1"
2787,mefloquine,CHEMBL416956,XEEQGYMUWCZPDN-UHFFFAOYSA-N,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,4046,C17H16F6N2O,4,CIDm00004046,CIDs00004046,mefloquine,DB00358,D04895,"ADORA2A,HBA1,PANX1"
700,SYNEPHRINE,CHEMBL33720,YRCWQPVGYLYSOX-UHFFFAOYSA-N,CNCC(C1=CC=C(C=C1)O)O,7172,C9H13NO2,0,CIDm00007172,CIDs00007172,synephrine,DB09203,D07148,ADRA1A
928,PRAZOSIN HCL,CHEMBL1558,WFXFYZULCQKPIP-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC.Cl,68546,C19H22ClN5O4,4,CIDm00004893,CIDs00004893,prazosin,,D00609,"ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,CDK1,KCNH2,KCNH6,KCNH7"
566,NAFTOPIDIL,CHEMBL142635,HRRBJVNMSRJFHQ-UHFFFAOYSA-N,COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O,4418,C24H28N2O3,4,CIDm00004418,CIDs00004418,naftopidil,DB12092,D01674,"ADRA1A,ADRA1D"
750,NAPHAZOLINE HCL,CHEMBL1706,DJDFFEBSKJCGHC-UHFFFAOYSA-N,C1CN=C(N1)CC2=CC=CC3=CC=CC=C32.Cl,11079,C14H15ClN2,4,CIDm00004436,CIDs00004436,all clear,,D00743,"ADRA1A,ADRA2A"
3332,phentolamine,CHEMBL597,MRBDMNSDAVCSSF-UHFFFAOYSA-N,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O,5775,C17H19N3O,4,CIDm00005775,CIDs00005775,phentolamine,DB00692,,"ADRA1A,ADRA2A,ADRA1B,ADRA1D,ADRA2B,ADRA2C"
2933,oxymetazoline,CHEMBL762,WYWIFABBXFUGLM-UHFFFAOYSA-N,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C,4636,C16H24N2O,4,CIDm00004636,CIDs00004636,oxymetazoline,DB00935,C07363,"ADRA1A,ADRA2A,ADRA1B,ADRA1D,ADRA2B,ADRA2C,CYP2C19,HTR1B,HTR1D,HTR2C"
2566,NIGULDIPINE,CHEMBL1275655,SVJMLYUFVDMUHP-UHFFFAOYSA-N,CC1=C(C(C(=C(N1)C)C(=O)OCCCN2CCC(CC2)(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC,1236,C36H39N3O6,0,CIDm00001236,CIDs00001236,niguldipine,,C11236,"ADRA1A,CACNA1C,ADRA1B,ADRA1D"
824,TERAZOSIN HCL,CHEMBL1256665,IWSWDOUXSCRCKW-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC.Cl,44383,C19H26ClN5O4,0,CIDm00005401,CIDs00005401,terazosin,,,"ADRA1D,ADRA1A,ADRA1B,KCNH2,KCNH6,KCNH7"
1420,GUANABENZ ACETATE,CHEMBL1200560,MCSPBPXATWBACD-GAYQJXMFSA-N,CC(=O)O.C1=CC(=C(C(=C1)Cl)C=NN=C(N)N)Cl,5702062,C10H12Cl2N4O2,4,CIDm00003517,CIDs05702062,adept,,D00605,"ADRA2A,ADRA2B,ADRA2C"
775,CLONIDINE HCL,CHEMBL1705,ZNIFSRGNXRYGHF-UHFFFAOYSA-N,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl,20179,C9H10Cl3N3,4,CIDm00002803,CIDs00002803,clonidine,,D00604,"ADRA2A,ADRA2B,ADRA2C,ADRA1A,ADRA1B,ADRA1D"
1347,XYLOMETAZOLINE HCL,CHEMBL1256400,YGWFCQYETHJKNX-UHFFFAOYSA-N,CC1=CC(=CC(=C1CC2=NCCN2)C)C(C)(C)C.Cl,5282386,C16H25ClN2,4,CIDm00005709,CIDs00005709,xylometazoline,,D00757,"ADRA2A,ADRA2B,ADRA2C,ADRA1A,ADRA1B,ADRA1D"
670,TOLAZOLINE HCL,CHEMBL1689,RHTNTTODYGNRSP-UHFFFAOYSA-N,C1CN=C(N1)CC2=CC=CC=C2.Cl,6048,C10H13ClN2,4,CIDm00005504,CIDs00005504,tolazoline,,D00997,"ADRA2A,ADRA2B,ADRA2C,ADRA1A,HRH1,HRH2"
1021,TIZANIDINE HCL,CHEMBL1200329,ZWUKMNZJRDGCTQ-UHFFFAOYSA-N,C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl.Cl,114869,C9H9Cl2N5S,4,CIDm00005487,CIDs00005487,tizanidine,,D00776,"ADRA2A,ADRA2B,ADRA2C,CYP1A2,NISCH"
676,YOHIMBINE HCL,CHEMBL537669,PIPZGJSEDRMUAW-VJDCAHTMSA-N,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O.Cl,6169,C21H27ClN2O3,4,CIDm00002866,CIDs00006169,yohimbine,,D06671,"ADRA2A,ADRA2C,ADRA2B,HTR1A,HTR1B,HTR1D,HTR2B,DRD2,DRD3,HTR1E,HTR1F,HTR2A,HTR2C,HTR5A,HTR7,KCNJ1,KCNJ10,KCNJ11,KCNJ12,KCNJ14,KCNJ15,KCNJ8"
561,MIRTAZAPINE,CHEMBL654,RONZAEMNMFQXRA-UHFFFAOYSA-N,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,4205,C17H19N3,4,CIDm00004205,CIDs00004205,mirtazapine,DB00370,D00563,"ADRA2A,HTR2A,HTR2C,ADRA2C,HTR3A,ADRA1A,ADRA1B,ADRA1D,ADRA2B,ADRB1,ADRB2,DRD1,DRD2,DRD3,DRD5,HRH1,HRH3,HTR2B,HTR7,OPRK1,SLC6A2,SLC6A3,SLC6A4"
1363,PHENOXYBENZAMINE HCL,CHEMBL1200787,VBCPVIWPDJVHAN-UHFFFAOYSA-N,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2.Cl,5284441,C18H23Cl2NO,4,CIDm00004768,CIDs00004768,phenoxybenzamine,,D00507,"ADRA2B,ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2C,ADRB2,CALM1"
1007,ESMOLOL HCL,CHEMBL1201115,GEKNCWBANDDJJL-UHFFFAOYSA-N,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O.Cl,104769,C16H26ClNO4,4,CIDm00059768,CIDs00059768,esmolol,,D00644,ADRB1
234,ATENOLOL,CHEMBL24,METKIMKYRPQLGS-UHFFFAOYSA-N,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,2249,C14H22N2O3,4,CIDm00002249,CIDs00002249,atenolol,DB00335,D00235,"ADRB1,ADRB2"
1134,ACEBUTOLOL HCL,CHEMBL1200813,KTUFKADDDORSSI-UHFFFAOYSA-N,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C.Cl,441307,C18H29ClN2O4,4,CIDm00001978,CIDs00001978,acebutolol,,D00597,"ADRB1,ADRB2"
1467,BISOPROLOL FUMARATE,CHEMBL1200708,RZPZLFIUFMNCLY-WLHGVMLRSA-N,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O.C(=CC(=O)O)C(=O)O,6917733,C22H35NO8,4,CIDm00002405,CIDs00002405,bisoprolol,,,"ADRB1,ADRB2"
479,CARVEDILOL,CHEMBL723,OGHNVEJMJSYVRP-UHFFFAOYSA-N,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,2585,C24H26N2O4,4,CIDm00002585,CIDs00002585,carvedilol,DB01136,D00255,"ADRB1,ADRB2,ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,ADRB3,CYP2C19,CYP2E1,GJA1,HIF1A,KCNH2,NDUFC2,NPPB,RYR2,SELE,VCAM1,VEGFA"
3331,DU-21220,CHEMBL83063,IOVGROKTTNBUGK-UHFFFAOYSA-N,CC(C(C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O,31729,C17H21NO3,4,CIDm00031728,CIDs00031729,ritodrine,,,ADRB2
1317,TIMOLOL MALEATE,CHEMBL1200870,WLRMANUAADYWEA-NWASOUNVSA-N,CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O.C(=CC(=O)O)C(=O)O,5281056,C17H28N4O7S,4,CIDm00005478,CIDs00033624,timolol,,D00603,"ADRB2,ADRB1"
2821,Salbutamol,CHEMBL714,NDAUXUAQIAJITI-UHFFFAOYSA-N,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,2083,C13H21NO3,4,CIDm00002083,CIDs00002083,salbutamol,DB01001,D02147,"ADRB2,ADRB1"
150,OLMESARTAN,CHEMBL1516,VTRAEEWXHOVJFV-UHFFFAOYSA-N,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,158781,C24H26N6O3,4,CIDm00158781,CIDs00158781,olmesartan,DB00275,D01204,AGTR1
