Gene,uniprot_protein_acc_id,drugbank_id,drug_name,drug_action_type,drug_status,drug_status2
CD32,P31994,DB00002,Cetuximab,,Biotech,Approved
FCG2,P31994,DB00002,Cetuximab,,Biotech,Approved
IGFR2,P31994,DB00002,Cetuximab,,Biotech,Approved
FCGR2C,P31995,DB00002,Cetuximab,,Biotech,Approved
CD32,P31995,DB00002,Cetuximab,,Biotech,Approved
FCG2,P31995,DB00002,Cetuximab,,Biotech,Approved
IGFR2,P31995,DB00002,Cetuximab,,Biotech,Approved
IL2RA,P01589,DB00004,Denileukin diftitox,Binder,Biotech,Approved|Investigational
IL2RB,P14784,DB00004,Denileukin diftitox,Agonist,Biotech,Approved|Investigational
IL15RB,P14784,DB00004,Denileukin diftitox,Agonist,Biotech,Approved|Investigational
IL2RG,P31785,DB00004,Denileukin diftitox,,Biotech,Approved|Investigational
TNF,P01375,DB00005,Etanercept,Antibody,Biotech,Approved|Investigational
TNFA,P01375,DB00005,Etanercept,Antibody,Biotech,Approved|Investigational
TNFSF2,P01375,DB00005,Etanercept,Antibody,Biotech,Approved|Investigational
TNFRSF1B,P20333,DB00005,Etanercept,,Biotech,Approved|Investigational
TNFBR,P20333,DB00005,Etanercept,,Biotech,Approved|Investigational
TNFR2,P20333,DB00005,Etanercept,,Biotech,Approved|Investigational
FCGR1A,P12314,DB00005,Etanercept,,Biotech,Approved|Investigational
FCG1,P12314,DB00005,Etanercept,,Biotech,Approved|Investigational
FCGR1,P12314,DB00005,Etanercept,,Biotech,Approved|Investigational
IGFR1,P12314,DB00005,Etanercept,,Biotech,Approved|Investigational
FCGR3A,P08637,DB00005,Etanercept,,Biotech,Approved|Investigational
CD16A,P08637,DB00005,Etanercept,,Biotech,Approved|Investigational
FCG3,P08637,DB00005,Etanercept,,Biotech,Approved|Investigational
FCGR3,P08637,DB00005,Etanercept,,Biotech,Approved|Investigational
IGFR3,P08637,DB00005,Etanercept,,Biotech,Approved|Investigational
FCGR2A,P12318,DB00005,Etanercept,,Biotech,Approved|Investigational
CD32,P12318,DB00005,Etanercept,,Biotech,Approved|Investigational
FCG2,P12318,DB00005,Etanercept,,Biotech,Approved|Investigational
FCGR2A1,P12318,DB00005,Etanercept,,Biotech,Approved|Investigational
IGFR2,P12318,DB00005,Etanercept,,Biotech,Approved|Investigational
FCGR2B,P31994,DB00005,Etanercept,,Biotech,Approved|Investigational
CD32,P31994,DB00005,Etanercept,,Biotech,Approved|Investigational
FCG2,P31994,DB00005,Etanercept,,Biotech,Approved|Investigational
IGFR2,P31994,DB00005,Etanercept,,Biotech,Approved|Investigational
FCGR2C,P31995,DB00005,Etanercept,,Biotech,Approved|Investigational
CD32,P31995,DB00005,Etanercept,,Biotech,Approved|Investigational
FCG2,P31995,DB00005,Etanercept,,Biotech,Approved|Investigational
IGFR2,P31995,DB00005,Etanercept,,Biotech,Approved|Investigational
LTA,P01374,DB00005,Etanercept,,Biotech,Approved|Investigational
TNFB,P01374,DB00005,Etanercept,,Biotech,Approved|Investigational
TNFSF1,P01374,DB00005,Etanercept,,Biotech,Approved|Investigational
FCGR3B,O75015,DB00005,Etanercept,,Biotech,Approved|Investigational
CD16B,O75015,DB00005,Etanercept,,Biotech,Approved|Investigational
FCG3,O75015,DB00005,Etanercept,,Biotech,Approved|Investigational
FCGR3,O75015,DB00005,Etanercept,,Biotech,Approved|Investigational
IGFR3,O75015,DB00005,Etanercept,,Biotech,Approved|Investigational
C1S,P09871,DB00005,Etanercept,,Biotech,Approved|Investigational
C1R,P00736,DB00005,Etanercept,,Biotech,Approved|Investigational
C1QA,P02745,DB00005,Etanercept,,Biotech,Approved|Investigational
C1QB,P02746,DB00005,Etanercept,,Biotech,Approved|Investigational
C1QC,P02747,DB00005,Etanercept,,Biotech,Approved|Investigational
C1QG,P02747,DB00005,Etanercept,,Biotech,Approved|Investigational
F2,P00734,DB00006,Bivalirudin,Inhibitor,Small molecule,Approved|Investigational
GNRHR,P30968,DB00007,Leuprolide,Agonist,Biotech,Approved|Investigational
GRHR,P30968,DB00007,Leuprolide,Agonist,Biotech,Approved|Investigational
IFNAR2,P48551,DB00008,Peginterferon alfa-2a,Agonist,Biotech,Approved|Investigational
IFNABR,P48551,DB00008,Peginterferon alfa-2a,Agonist,Biotech,Approved|Investigational
IFNARB,P48551,DB00008,Peginterferon alfa-2a,Agonist,Biotech,Approved|Investigational
IFNAR1,P17181,DB00008,Peginterferon alfa-2a,Agonist,Biotech,Approved|Investigational
IFNAR,P17181,DB00008,Peginterferon alfa-2a,Agonist,Biotech,Approved|Investigational
PLG,P00747,DB00009,Alteplase,Activator,Biotech,Approved
FGA,P02671,DB00009,Alteplase,,Biotech,Approved
PLAUR,Q03405,DB00009,Alteplase,,Biotech,Approved
MO3,Q03405,DB00009,Alteplase,,Biotech,Approved
UPAR,Q03405,DB00009,Alteplase,,Biotech,Approved
SERPINE1,P05121,DB00009,Alteplase,,Biotech,Approved
PAI1,P05121,DB00009,Alteplase,,Biotech,Approved
PLANH1,P05121,DB00009,Alteplase,,Biotech,Approved
GHRHR,Q02643,DB00010,Sermorelin,Agonist,Biotech,Approved|Withdrawn
IFNAR2,P48551,DB00011,Interferon alfa-n1,Agonist,Biotech,Approved|Investigational
IFNABR,P48551,DB00011,Interferon alfa-n1,Agonist,Biotech,Approved|Investigational
IFNARB,P48551,DB00011,Interferon alfa-n1,Agonist,Biotech,Approved|Investigational
IFNAR1,P17181,DB00011,Interferon alfa-n1,Agonist,Biotech,Approved|Investigational
IFNAR,P17181,DB00011,Interferon alfa-n1,Agonist,Biotech,Approved|Investigational
EPOR,P19235,DB00012,Darbepoetin alfa,Agonist,Biotech,Approved|Investigational
PLG,P00747,DB00013,Urokinase,Activator,Biotech,Approved|Investigational|Withdrawn
PLAUR,Q03405,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
MO3,Q03405,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
UPAR,Q03405,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
PLAU,P00749,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
PLAT,P00750,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
SERPINE1,P05121,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
PAI1,P05121,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
PLANH1,P05121,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
SERPINB2,P05120,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
PAI2,P05120,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
PLANH2,P05120,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
SERPINA5,P05154,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
PCI,P05154,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
PLANH3,P05154,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
PROCI,P05154,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
LRP2,P98164,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
ST14,Q9Y5Y6,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
PRSS14,Q9Y5Y6,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
SNC19,Q9Y5Y6,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
TADG15,Q9Y5Y6,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
NID1,P14543,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
NID,P14543,DB00013,Urokinase,,Biotech,Approved|Investigational|Withdrawn
LHCGR,P22888,DB00014,Goserelin,Agonist,Small molecule,Approved
LCGR,P22888,DB00014,Goserelin,Agonist,Small molecule,Approved
LGR2,P22888,DB00014,Goserelin,Agonist,Small molecule,Approved
LHRHR,P22888,DB00014,Goserelin,Agonist,Small molecule,Approved
GNRHR,P30968,DB00014,Goserelin,Agonist,Small molecule,Approved
GRHR,P30968,DB00014,Goserelin,Agonist,Small molecule,Approved
PLG,P00747,DB00015,Reteplase,Activator,Biotech,Approved|Investigational
FGA,P02671,DB00015,Reteplase,,Biotech,Approved|Investigational
PLAUR,Q03405,DB00015,Reteplase,,Biotech,Approved|Investigational
MO3,Q03405,DB00015,Reteplase,,Biotech,Approved|Investigational
UPAR,Q03405,DB00015,Reteplase,,Biotech,Approved|Investigational
SERPINE1,P05121,DB00015,Reteplase,,Biotech,Approved|Investigational
PAI1,P05121,DB00015,Reteplase,,Biotech,Approved|Investigational
PLANH1,P05121,DB00015,Reteplase,,Biotech,Approved|Investigational
EPOR,P19235,DB00016,Erythropoietin,Agonist,Biotech,Approved
CALCR,P30988,DB00017,Salmon Calcitonin,Agonist,Biotech,Approved|Investigational
IFNAR1,P17181,DB00018,Interferon alfa-n3,Agonist,Biotech,Approved|Investigational
IFNAR,P17181,DB00018,Interferon alfa-n3,Agonist,Biotech,Approved|Investigational
IFNAR2,P48551,DB00018,Interferon alfa-n3,Agonist,Biotech,Approved|Investigational
IFNABR,P48551,DB00018,Interferon alfa-n3,Agonist,Biotech,Approved|Investigational
IFNARB,P48551,DB00018,Interferon alfa-n3,Agonist,Biotech,Approved|Investigational
CSF3R,Q99062,DB00019,Pegfilgrastim,Agonist,Biotech,Approved
GCSFR,Q99062,DB00019,Pegfilgrastim,Agonist,Biotech,Approved
ELANE,P08246,DB00019,Pegfilgrastim,,Biotech,Approved
ELA2,P08246,DB00019,Pegfilgrastim,,Biotech,Approved
CSF2RA,P15509,DB00020,Sargramostim,Agonist,Biotech,Approved|Investigational
CSF2R,P15509,DB00020,Sargramostim,Agonist,Biotech,Approved|Investigational
CSF2RY,P15509,DB00020,Sargramostim,Agonist,Biotech,Approved|Investigational
IL3RA,P26951,DB00020,Sargramostim,Agonist,Biotech,Approved|Investigational
IL3R,P26951,DB00020,Sargramostim,Agonist,Biotech,Approved|Investigational
CSF2RB,P32927,DB00020,Sargramostim,Agonist,Biotech,Approved|Investigational
IL3RB,P32927,DB00020,Sargramostim,Agonist,Biotech,Approved|Investigational
IL5RB,P32927,DB00020,Sargramostim,Agonist,Biotech,Approved|Investigational
SDC2,P34741,DB00020,Sargramostim,Agonist,Biotech,Approved|Investigational
HSPG1,P34741,DB00020,Sargramostim,Agonist,Biotech,Approved|Investigational
PRG2,P13727,DB00020,Sargramostim,,Biotech,Approved|Investigational
MBP,P13727,DB00020,Sargramostim,,Biotech,Approved|Investigational
IFNAR1,P17181,DB00022,Peginterferon alfa-2b,Agonist,Biotech,Approved
IFNAR,P17181,DB00022,Peginterferon alfa-2b,Agonist,Biotech,Approved
IFNAR2,P48551,DB00022,Peginterferon alfa-2b,Agonist,Biotech,Approved
IFNABR,P48551,DB00022,Peginterferon alfa-2b,Agonist,Biotech,Approved
IFNARB,P48551,DB00022,Peginterferon alfa-2b,Agonist,Biotech,Approved
TSHR,P16473,DB00024,Thyrotropin alfa,Agonist,Biotech,Approved|Vet_approved
LGR3,P16473,DB00024,Thyrotropin alfa,Agonist,Biotech,Approved|Vet_approved
F10,P00742,DB00025,"Antihemophilic factor, human recombinant",Activator,Biotech,Approved|Investigational
F9,P00740,DB00025,"Antihemophilic factor, human recombinant",Cofactor,Biotech,Approved|Investigational
VWF,P04275,DB00025,"Antihemophilic factor, human recombinant",Binder,Biotech,Approved|Investigational
F8VWF,P04275,DB00025,"Antihemophilic factor, human recombinant",Binder,Biotech,Approved|Investigational
PHYH,O14832,DB00025,"Antihemophilic factor, human recombinant",Antagonist,Biotech,Approved|Investigational
PAHX,O14832,DB00025,"Antihemophilic factor, human recombinant",Antagonist,Biotech,Approved|Investigational
ASGR2,P07307,DB00025,"Antihemophilic factor, human recombinant",Binder,Biotech,Approved|Investigational
CLEC4H2,P07307,DB00025,"Antihemophilic factor, human recombinant",Binder,Biotech,Approved|Investigational
HSPA5,P11021,DB00025,"Antihemophilic factor, human recombinant",Chaperone,Biotech,Approved|Investigational
GRP78,P11021,DB00025,"Antihemophilic factor, human recombinant",Chaperone,Biotech,Approved|Investigational
CALR,P27797,DB00025,"Antihemophilic factor, human recombinant",Chaperone,Biotech,Approved|Investigational
CRTC,P27797,DB00025,"Antihemophilic factor, human recombinant",Chaperone,Biotech,Approved|Investigational
CANX,P27824,DB00025,"Antihemophilic factor, human recombinant",Chaperone,Biotech,Approved|Investigational
LMAN1,P49257,DB00025,"Antihemophilic factor, human recombinant",Chaperone,Biotech,Approved|Investigational
ERGIC53,P49257,DB00025,"Antihemophilic factor, human recombinant",Chaperone,Biotech,Approved|Investigational
F5F8D,P49257,DB00025,"Antihemophilic factor, human recombinant",Chaperone,Biotech,Approved|Investigational
LRP1,Q07954,DB00025,"Antihemophilic factor, human recombinant",Modulator,Biotech,Approved|Investigational
A2MR,Q07954,DB00025,"Antihemophilic factor, human recombinant",Modulator,Biotech,Approved|Investigational
APR,Q07954,DB00025,"Antihemophilic factor, human recombinant",Modulator,Biotech,Approved|Investigational
MCFD2,Q8NI22,DB00025,"Antihemophilic factor, human recombinant",Modulator,Biotech,Approved|Investigational
SDNSF,Q8NI22,DB00025,"Antihemophilic factor, human recombinant",Modulator,Biotech,Approved|Investigational
IL1R1,P14778,DB00026,Anakinra,Antagonist,Biotech,Approved
IL1R,P14778,DB00026,Anakinra,Antagonist,Biotech,Approved
IL1RA,P14778,DB00026,Anakinra,Antagonist,Biotech,Approved
IL1RT1,P14778,DB00026,Anakinra,Antagonist,Biotech,Approved
FCGR1A,P12314,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCG1,P12314,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCGR1,P12314,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
IGFR1,P12314,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCGR1B,Q92637,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
IGFRB,Q92637,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCGR2A,P12318,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
CD32,P12318,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCG2,P12318,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCGR2A1,P12318,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
IGFR2,P12318,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCGR2B,P31994,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
CD32,P31994,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCG2,P31994,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
IGFR2,P31994,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCGR2C,P31995,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
CD32,P31995,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCG2,P31995,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
IGFR2,P31995,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCGR3A,P08637,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
CD16A,P08637,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCG3,P08637,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCGR3,P08637,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
IGFR3,P08637,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCGR3B,O75015,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
CD16B,O75015,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCG3,O75015,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
FCGR3,O75015,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
IGFR3,O75015,DB00028,Immune Globulin Human,Antagonist,Biotech,Approved|Investigational
C3,P01024,DB00028,Immune Globulin Human,Binder,Biotech,Approved|Investigational
CPAMD1,P01024,DB00028,Immune Globulin Human,Binder,Biotech,Approved|Investigational
C4A,P0C0L4,DB00028,Immune Globulin Human,Binder,Biotech,Approved|Investigational
CO4,P0C0L4,DB00028,Immune Globulin Human,Binder,Biotech,Approved|Investigational
CPAMD2,P0C0L4,DB00028,Immune Globulin Human,Binder,Biotech,Approved|Investigational
C4B,P0C0L5,DB00028,Immune Globulin Human,Binder,Biotech,Approved|Investigational
CO4,P0C0L5,DB00028,Immune Globulin Human,Binder,Biotech,Approved|Investigational
CPAMD3;,P0C0L5,DB00028,Immune Globulin Human,Binder,Biotech,Approved|Investigational
C4B_2,P0C0L5,DB00028,Immune Globulin Human,Binder,Biotech,Approved|Investigational
C5,P01031,DB00028,Immune Globulin Human,Binder,Biotech,Approved|Investigational
CPAMD4,P01031,DB00028,Immune Globulin Human,Binder,Biotech,Approved|Investigational
PLG,P00747,DB00029,Anistreplase,Activator,Biotech,Approved
FGA,P02671,DB00029,Anistreplase,,Biotech,Approved
PLAUR,Q03405,DB00029,Anistreplase,,Biotech,Approved
MO3,Q03405,DB00029,Anistreplase,,Biotech,Approved
UPAR,Q03405,DB00029,Anistreplase,,Biotech,Approved
SERPINE1,P05121,DB00029,Anistreplase,,Biotech,Approved
PAI1,P05121,DB00029,Anistreplase,,Biotech,Approved
PLANH1,P05121,DB00029,Anistreplase,,Biotech,Approved
INSR,P06213,DB00030,Insulin Human,Agonist,Biotech,Approved|Investigational
IGF1R,P08069,DB00030,Insulin Human,,Biotech,Approved|Investigational
RB1,P06400,DB00030,Insulin Human,,Biotech,Approved|Investigational
PLG,P00747,DB00031,Tenecteplase,Activator,Biotech,Approved
FGA,P02671,DB00031,Tenecteplase,,Biotech,Approved
PLAUR,Q03405,DB00031,Tenecteplase,,Biotech,Approved
MO3,Q03405,DB00031,Tenecteplase,,Biotech,Approved
UPAR,Q03405,DB00031,Tenecteplase,,Biotech,Approved
SERPINE1,P05121,DB00031,Tenecteplase,,Biotech,Approved
PAI1,P05121,DB00031,Tenecteplase,,Biotech,Approved
PLANH1,P05121,DB00031,Tenecteplase,,Biotech,Approved
SERPINB2,P05120,DB00031,Tenecteplase,,Biotech,Approved
PAI2,P05120,DB00031,Tenecteplase,,Biotech,Approved
PLANH2,P05120,DB00031,Tenecteplase,,Biotech,Approved
CLEC3B,P05452,DB00031,Tenecteplase,,Biotech,Approved
TNA,P05452,DB00031,Tenecteplase,,Biotech,Approved
KRT8,P05787,DB00031,Tenecteplase,,Biotech,Approved
CYK8,P05787,DB00031,Tenecteplase,,Biotech,Approved
ANXA2,P07355,DB00031,Tenecteplase,,Biotech,Approved
ANX2,P07355,DB00031,Tenecteplase,,Biotech,Approved
ANX2L4,P07355,DB00031,Tenecteplase,,Biotech,Approved
CAL1H,P07355,DB00031,Tenecteplase,,Biotech,Approved
LPC2D,P07355,DB00031,Tenecteplase,,Biotech,Approved
CALR,P27797,DB00031,Tenecteplase,,Biotech,Approved
CRTC,P27797,DB00031,Tenecteplase,,Biotech,Approved
CANX,P27824,DB00031,Tenecteplase,,Biotech,Approved
LRP1,Q07954,DB00031,Tenecteplase,,Biotech,Approved
A2MR,Q07954,DB00031,Tenecteplase,,Biotech,Approved
APR,Q07954,DB00031,Tenecteplase,,Biotech,Approved
FSHR,P23945,DB00032,Menotropins,Binder,Biotech,Approved
LGR1,P23945,DB00032,Menotropins,Binder,Biotech,Approved
LHCGR,P22888,DB00032,Menotropins,,Biotech,Approved
LCGR,P22888,DB00032,Menotropins,,Biotech,Approved
LGR2,P22888,DB00032,Menotropins,,Biotech,Approved
LHRHR,P22888,DB00032,Menotropins,,Biotech,Approved
IFNGR1,P15260,DB00033,Interferon gamma-1b,Binder,Biotech,Approved|Investigational
IFNGR2,P38484,DB00033,Interferon gamma-1b,Binder,Biotech,Approved|Investigational
IFNGT1,P38484,DB00033,Interferon gamma-1b,Binder,Biotech,Approved|Investigational
IFNAR1,P17181,DB00034,"Interferon Alfa-2a, Recombinant",,Biotech,Approved|Investigational
IFNAR,P17181,DB00034,"Interferon Alfa-2a, Recombinant",,Biotech,Approved|Investigational
IFNAR2,P48551,DB00034,"Interferon Alfa-2a, Recombinant",,Biotech,Approved|Investigational
IFNABR,P48551,DB00034,"Interferon Alfa-2a, Recombinant",,Biotech,Approved|Investigational
IFNARB,P48551,DB00034,"Interferon Alfa-2a, Recombinant",,Biotech,Approved|Investigational
AVPR2,P30518,DB00035,Desmopressin,Agonist,Small molecule,Approved
ADHR,P30518,DB00035,Desmopressin,Agonist,Small molecule,Approved
DIR,P30518,DB00035,Desmopressin,Agonist,Small molecule,Approved
DIR3,P30518,DB00035,Desmopressin,Agonist,Small molecule,Approved
V2R,P30518,DB00035,Desmopressin,Agonist,Small molecule,Approved
AVPR1A,P37288,DB00035,Desmopressin,,Small molecule,Approved
AVPR1,P37288,DB00035,Desmopressin,,Small molecule,Approved
AVPR1B,P47901,DB00035,Desmopressin,,Small molecule,Approved
AVPR3,P47901,DB00035,Desmopressin,,Small molecule,Approved
VPR3,P47901,DB00035,Desmopressin,,Small molecule,Approved
F10,P00742,DB00036,Coagulation factor VIIa Recombinant Human,,Biotech,Approved
HPN,P05981,DB00036,Coagulation factor VIIa Recombinant Human,,Biotech,Approved
TMPRSS1,P05981,DB00036,Coagulation factor VIIa Recombinant Human,,Biotech,Approved
TFPI,P10646,DB00036,Coagulation factor VIIa Recombinant Human,,Biotech,Approved
LACI,P10646,DB00036,Coagulation factor VIIa Recombinant Human,,Biotech,Approved
TFPI1,P10646,DB00036,Coagulation factor VIIa Recombinant Human,,Biotech,Approved
GGCX,P38435,DB00036,Coagulation factor VIIa Recombinant Human,,Biotech,Approved
GC,P38435,DB00036,Coagulation factor VIIa Recombinant Human,,Biotech,Approved
F7,P08709,DB00036,Coagulation factor VIIa Recombinant Human,,Biotech,Approved
F3,P13726,DB00036,Coagulation factor VIIa Recombinant Human,,Biotech,Approved
IL11RA,Q14626,DB00038,Oprelvekin,Agonist,Biotech,Approved|Investigational
FGFR2,P21802,DB00039,Palifermin,Binder,Biotech,Approved
BEK,P21802,DB00039,Palifermin,Binder,Biotech,Approved
KGFR,P21802,DB00039,Palifermin,Binder,Biotech,Approved
KSAM,P21802,DB00039,Palifermin,Binder,Biotech,Approved
NRP1,O14786,DB00039,Palifermin,,Biotech,Approved
NRP,O14786,DB00039,Palifermin,,Biotech,Approved
VEGF165R,O14786,DB00039,Palifermin,,Biotech,Approved
FGFR1,P11362,DB00039,Palifermin,,Biotech,Approved
BFGFR,P11362,DB00039,Palifermin,,Biotech,Approved
CEK,P11362,DB00039,Palifermin,,Biotech,Approved
FGFBR,P11362,DB00039,Palifermin,,Biotech,Approved
FLG,P11362,DB00039,Palifermin,,Biotech,Approved
FLT2,P11362,DB00039,Palifermin,,Biotech,Approved
HBGFR,P11362,DB00039,Palifermin,,Biotech,Approved
FGFR4,P22455,DB00039,Palifermin,,Biotech,Approved
JTK2,P22455,DB00039,Palifermin,,Biotech,Approved
TKF,P22455,DB00039,Palifermin,,Biotech,Approved
FGFR3,P22607,DB00039,Palifermin,,Biotech,Approved
JTK4,P22607,DB00039,Palifermin,,Biotech,Approved
HSPG2,P98160,DB00039,Palifermin,,Biotech,Approved
GCGR,P47871,DB00040,Glucagon,Agonist,Biotech,Approved
GLP2R,O95838,DB00040,Glucagon,,Biotech,Approved
GLP1R,P43220,DB00040,Glucagon,,Biotech,Approved
IL2RB,P14784,DB00041,Aldesleukin,Agonist|Modulator,Biotech,Approved
IL15RB,P14784,DB00041,Aldesleukin,Agonist|Modulator,Biotech,Approved
IL2RA,P01589,DB00041,Aldesleukin,Agonist|Modulator,Biotech,Approved
IL2RG,P31785,DB00041,Aldesleukin,Agonist,Biotech,Approved
VAMP2,P63027,DB00042,Botulinum Toxin Type B,Binder,Biotech,Approved|Investigational
SYB2,P63027,DB00042,Botulinum Toxin Type B,Binder,Biotech,Approved|Investigational
VAMP1,P23763,DB00042,Botulinum Toxin Type B,Binder,Biotech,Approved|Investigational
SYB1,P23763,DB00042,Botulinum Toxin Type B,Binder,Biotech,Approved|Investigational
SYT2,Q8N9I0,DB00042,Botulinum Toxin Type B,,Biotech,Approved|Investigational
FCER1A,P12319,DB00043,Omalizumab,Inhibitor,Biotech,Approved|Investigational
FCE1A,P12319,DB00043,Omalizumab,Inhibitor,Biotech,Approved|Investigational
MS4A2,Q01362,DB00043,Omalizumab,Inhibitor,Biotech,Approved|Investigational
APY,Q01362,DB00043,Omalizumab,Inhibitor,Biotech,Approved|Investigational
FCER1B,Q01362,DB00043,Omalizumab,Inhibitor,Biotech,Approved|Investigational
IGER,Q01362,DB00043,Omalizumab,Inhibitor,Biotech,Approved|Investigational
LHCGR,P22888,DB00044,Lutropin alfa,Agonist,Biotech,Approved
LCGR,P22888,DB00044,Lutropin alfa,Agonist,Biotech,Approved
LGR2,P22888,DB00044,Lutropin alfa,Agonist,Biotech,Approved
LHRHR,P22888,DB00044,Lutropin alfa,Agonist,Biotech,Approved
TLR2,O60603,DB00045,Lyme disease vaccine (recombinant OspA),Other/unknown,Biotech,Approved|Withdrawn
TIL4,O60603,DB00045,Lyme disease vaccine (recombinant OspA),Other/unknown,Biotech,Approved|Withdrawn
INSR,P06213,DB00046,Insulin Lispro,Agonist,Biotech,Approved
IGF1R,P08069,DB00046,Insulin Lispro,,Biotech,Approved
INSR,P06213,DB00047,Insulin glargine,Agonist,Biotech,Approved
